appid,type,genre,metacritic,recommendations
2580780,dlc,Simulation,,
2580790,dlc,Simulation,,
2580800,dlc,Simulation,,
2580810,dlc,Simulation,,
2580820,dlc,Simulation,,
2580830,dlc,Simulation,,
2580840,dlc,Simulation,,
2580850,dlc,Simulation,,
2580860,dlc,Simulation,,
2580870,dlc,Simulation,,
2580880,dlc,Simulation,,
2580890,dlc,Simulation,,
2580900,dlc,Simulation,,
2580910,dlc,Simulation,,
2579940,dlc,Casual,,
2579950,game,Adventure,,
2579960,game,Action,,
2579970,game,Action,,
2580010,game,Action,,
2580030,demo,,,
2580040,game,Action,,
2580050,,,,
2580060,game,,,
2580080,game,,,
2580090,game,,,
2580100,game,Casual,,
2580120,,,,
2580130,game,Indie,,
2580150,game,Adventure,,
2580160,game,Indie,,
2580170,game,Action,,
2580180,game,Casual,,
2580210,game,Adventure,,
2580240,,,,
2580280,game,Adventure,,
2580290,game,Casual,,
2580310,game,Action,,
2580320,,,,
2580330,dlc,Adventure,,
2580340,game,Adventure,,
2580350,demo,,,
2580370,game,Action,,
2580390,game,Action,,
2580400,game,,,
2580410,game,Casual,,
2579410,,,,
2579430,game,Adventure,,
2579440,game,Indie,,
2579470,game,Adventure,,
2579480,game,Action,,
2579490,game,Action,,
2579500,game,,,
2579510,game,Action,,
2579530,dlc,Action,,
2579540,game,Adventure,,
2579550,game,Action,,
2579570,game,Adventure,,
2579580,game,Adventure,,
2579600,game,Adventure,,
2579610,dlc,Action,,
2579620,game,Action,,
2579630,game,,,
2579640,game,Adventure,,
2579670,dlc,Indie,,
2579680,game,Indie,,
2579690,game,Action,,
2579710,game,Action,,
2579720,game,,,
2579730,game,Casual,,
2579740,game,Indie,,
2579760,demo,,,
2579800,dlc,Casual,,
2579820,game,Simulation,,
2579840,game,Casual,,
2579850,,,,
2579860,game,Action,,
2579870,game,Casual,,
2579880,game,Action,,
2579890,game,Action,,
2579900,,,,
2578910,game,Adventure,,
2578920,game,Indie,,
2578940,game,Adventure,,
2578950,game,Action,,
2578960,game,Action,,
2578980,game,Casual,,
2579000,game,Action,,
2579020,game,Action,,
2579030,game,,,
2579070,game,Adventure,,
2579080,demo,,,
